scenario,time,cw_coherence,pulse_coherence,cw_population,pulse_population
excellent_qubit,121.405,0.00211778,0.00738393,0.00000000,0.00000000
excellent_qubit,121.906,0.00140836,0.00734698,0.00000000,0.00000000
excellent_qubit,122.408,0.00226797,0.00731021,0.00000000,0.00000000
excellent_qubit,122.910,0.00015314,0.00727363,0.00000000,0.00000000
excellent_qubit,123.411,0.00006875,0.00723723,0.00000000,0.00000000
excellent_qubit,123.913,0.00213472,0.00720102,0.00000000,0.00000000
excellent_qubit,124.415,0.00142607,0.00716498,0.00000000,0.00000000
excellent_qubit,124.916,0.00222633,0.00712913,0.00000000,0.00000000
excellent_qubit,125.418,0.00012135,0.00709345,0.00000000,0.00000000
excellent_qubit,125.920,0.00000585,0.00705796,0.00000000,0.00000000
excellent_qubit,126.421,0.00215100,0.00702264,0.00000000,0.00000000
excellent_qubit,126.923,0.00144215,0.00698750,0.00000000,0.00000000
excellent_qubit,127.425,0.00218404,0.00695253,0.00000000,0.00000000
excellent_qubit,127.926,0.00008874,0.00691774,0.00000000,0.00000000
excellent_qubit,128.428,0.00005636,0.00688312,0.00000000,0.00000000
excellent_qubit,128.930,0.00216660,0.00684868,0.00000000,0.00000000
excellent_qubit,129.431,0.00145662,0.00681440,0.00000000,0.00000000
excellent_qubit,129.933,0.00214113,0.00678030,0.00000000,0.00000000
excellent_qubit,130.435,0.00005537,0.00674637,0.00000000,0.00000000
excellent_qubit,130.936,0.00011786,0.00671261,0.00000000,0.00000000
excellent_qubit,131.438,0.00218147,0.00667902,0.00000000,0.00000000
excellent_qubit,131.940,0.00146946,0.00664560,0.00000000,0.00000000
excellent_qubit,132.441,0.00209760,0.00661234,0.00000000,0.00000000
excellent_qubit,132.943,0.00002127,0.00657925,0.00000000,0.00000000
excellent_qubit,133.445,0.00017862,0.00654633,0.00000000,0.00000000
excellent_qubit,133.946,0.00219556,0.00651357,0.00000000,0.00000000
excellent_qubit,134.448,0.00148068,0.00648098,0.00000000,0.00000000
excellent_qubit,134.950,0.00205345,0.00644855,0.00000000,0.00000000
excellent_qubit,135.452,0.00001353,0.00641628,0.00000000,0.00000000
excellent_qubit,135.953,0.00023862,0.00638417,0.00000000,0.00000000
excellent_qubit,136.455,0.00220885,0.00635222,0.00000000,0.00000000
excellent_qubit,136.957,0.00149027,0.00632043,0.00000000,0.00000000
excellent_qubit,137.458,0.00200871,0.00628880,0.00000000,0.00000000
excellent_qubit,137.960,0.00004897,0.00625733,0.00000000,0.00000000
excellent_qubit,138.462,0.00029782,0.00622602,0.00000000,0.00000000
excellent_qubit,138.963,0.00222128,0.00619487,0.00000000,0.00000000
excellent_qubit,139.465,0.00149822,0.00616387,0.00000000,0.00000000
excellent_qubit,139.967,0.00196337,0.00613302,0.00000000,0.00000000
