time_us,gaussian_soft_entanglement,gaussian_soft_purity,gaussian_soft_leakage,DRAG_aggressive_entanglement,DRAG_aggressive_purity,DRAG_aggressive_leakage,chirped_brutal_entanglement,chirped_brutal_purity,chirped_brutal_leakage,bang_bang_entanglement,bang_bang_purity,bang_bang_leakage
1.707,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.757,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.808,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.858,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.908,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
1.958,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.008,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.059,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.109,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.159,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.209,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.259,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.310,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.360,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.410,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.460,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.510,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.561,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.611,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
